CIITY,-9661,19808,-1,flyover
BCEEE,14561,41618,-1,flyover
GRTFL,81729,13107,-1,flyby
BGGLO,67435,-33648,-1,flyover
PYE,51399,-42537,-1,flyby
VPSTB,32406,-25436,-1,flyby
VPBCK,27255,-9584,-1,flyover
OPLIE,18635,-658,-1,flyover
BCEEE,14858,42513,-1,flyover
RYMAR,54918,48858,-1,flyby
UPEND,46366,25364,-1,flyby
HITOD,27561,15365,-1,flyover
ESUME,14643,8496,-1,flyover
SFO,452,1265,1000,flyover
